ALIAS GENOMESIZE
fish_9 481331876.93
fish_4 520634206.92
fish_14 581667648.95
fish_12 557292925.06
fish_5 521116842.93
fish_11 500808735.58
fish_15 571079390.46
fish_17 601411349.59
fish_13 569888753.99
fish_1 596320367.57
fish_3 486235007.43
fish_6 566995559.97
fish_8 545191232.37
fish_10 540603274.52
fish_7 586060676.13
fish_16 571460083.20
fish_19 541093064.44
fish_18 448243103.03
fish_20 616121959.09
fish_31 671183629.49
fish_23 437237190.87
fish_22 477961166.87
fish_24 655559174.65
fish_33 448157230.47
fish_2 353855639.91
fish_26 523193940.70
fish_32 534499432.22
fish_28 764804127.88
fish_52 638996323.73
fish_50 1065684955.72
fish_30 686997175.96
fish_27 665865509.74
fish_36 504571868.90
fish_54 492683976.51
fish_35 730912929.19
fish_34 803604136.09
fish_42 954509693.31
fish_38 652143039.57
fish_55 868399341.49
fish_48 1185712657.58
fish_56 834984700.81
fish_21 1428522096.67
fish_45 1025619168.12
fish_67 763959857.16
fish_47 753965747.08
fish_71 737593285.41
fish_65 692776760.21
fish_69 724904378.34
fish_74 665885929.04
fish_68 834476748.79
fish_70 729371594.90
fish_72 718505441.73
fish_76 653353437.87
fish_75 614408363.41
fish_84 684196985.09
fish_40 1595314765.02
fish_85 593670832.98
fish_66 1031933240.60
fish_89 623931114.31
fish_57 616101275.59
fish_63 805164625.66
fish_81 750813011.51
fish_62 792383490.98
fish_73 1059523209.70
fish_79 703447374.24
fish_61 846350255.43
fish_80 769140529.71
fish_86 594554156.70
fish_59 733836428.56
fish_83 854731754.26
fish_91 737139517.90
fish_95 617746639.07
fish_88 669031302.45
fish_94 596186309.42
fish_90 731365204.56
fish_96 1169444459.25
fish_58 774112860.11
fish_97 629903625.06
fish_60 910729092.61
fish_87 927743476.80
