fish_1	Gadiformes	Arctogadus glacialis	Arctic cod
fish_2	Gadiformes	Boreogadus saida	Polar cod
fish_3	Gadiformes	Trisopterus minutus	Poor cod
fish_4	Gadiformes	Pollachius virens	Saithe
fish_5	Gadiformes	Melanogrammus aeglefinus	Haddoc
fish_6	Gadiformes	Merlangius merlangus	Whiting
fish_7	Gadiformes	Theragra chalcogramma	Alaska pollock
fish_8	Gadiformes	Gadiculus argenteus	Silvercod
fish_9	Gadiformes	Phycis phycis	Forkbeard
fish_10	Gadiformes	Molva molva	Ling
fish_11	Gadiformes	Lota lota	Burbot
fish_12	Gadiformes	Brosme brosme	Cusk
fish_13	Gadiformes	Merluccius merluccius	Hake
fish_14	Gadiformes	Merluccius capensis	Shallow-water Cape hake
fish_15	Gadiformes	Merluccius polli	Black hake
fish_16	Gadiformes	Melanonus zugmayeri	Arrowtail
fish_17	Gadiformes	Macrourus berglax	Roughhead grenadier
fish_18	Gadiformes	Malacocephalus occidentalis	Western softhead grenadier
fish_19	Gadiformes	Bathygadus melanobranchus	Vaillants grenadier
fish_20	Gadiformes	Muraenolepis marmoratus	Marbled moray cod
fish_21	Gadiformes	Bregmaceros cantori	Striped codlet
fish_22	Gadiformes	Mora moro	Common mora
fish_23	Gadiformes	Laemonema laureysi	Guinean codling
fish_24	Polymyxiformes	Polymixia japonica	Silver eye beardfish
fish_26	Percopsiformes	Percopsis transmontana	Sandroller
fish_27	Percopsiformes	Typhlichthys subterraneus	Southern cavefish
fish_28	Zeiformes	Zeus faber	John dory
fish_29	Zeiformes	Zenopsis conchifer	Silvery john dory
fish_30	Zeiformes	Cyttopsis roseus	Red dory
fish_31	Ophidiiformes	Lamprogrammus exutus	Legless cusk eel
fish_32	Ophidiiformes	Brotula barbata	Bearded brotula
fish_33	Ophidiiformes	Carapus acus	Pearl fish
fish_34	Beryciformes	Myripristis jacobus	Blackbar soldierfish
fish_35	Beryciformes	Holocentrus rufus	Longspine squirrelfish
fish_36	Gadiformes	Trachyrincus scabrus	Roughsnout grenadier
fish_37	Beryciformes	Gephyroberyx darwini	Darwinian slimehead
fish_38	Stephanoberyciformes	Melamphaidae sp.	Melamphaidae sp.
fish_39	Batrachoidiformes	Perulibatrachus rossignoli	Rossignol toadfish
fish_40	Batrachoidiformes	Chatrabus melanurus	Pony toadfish
fish_41	Batrachoidiformes	Opsanus beta	Gulf toadfish
